Link,Huurprijs,Locatie,m2,Huurovereekomst,Beschrijving
https://www.pararius.com/apartment-for-rent/utrecht/bd0941c6/oudegracht,"€2,150 per month",3511 AV (Breedstraat en Plompetorengracht en omgeving),45 m²,"€2,150 per month","Description Beautiful apartment for rent on the Oudegracht, in the heart of Utrecht! The apartment: Located on the ground floor
Features a very spacious living room and a bedroom (mezzanine)
Has a large open kitchen, equipped with a fridge/freezer combo, induction hob, extractor hood, combination microwave, and dishwasher Located on the ground floor Features a very spacious living room and a bedroom (mezzanine) Has a large open kitchen, equipped with a fridge/freezer combo, induction hob, extractor hood, combination microwave, and dishwasher               "
https://www.pararius.com/apartment-for-rent/amstelveen/b8c04cf0/fluweelboomlaan,"€2,500 per month",1185 PP (Populierenbuurt),110 m²,"€2,500 per month","Description NO SHARING Tastefully decorated apartment for rent in Amstelveen.
Excellent location for shops, amenities and public transport.  The spacious and light living-room which flows into the dining area. There is a modern open kitchen with all built-in appliances. Gascooking, oven, microwave, fridge/freezer and dishwasher. There is access to the terrace from the kitchen area.   "
https://www.pararius.com/apartment-for-rent/amsterdam/875fc983/gustav-mahlerlaan,"€2,750 per month",1082 MK (Zuidas),100 m²,"€2,750 per month","Description Details:
• Size of the property: 100 m2
• Number of bedrooms: 2
• Number of bathrooms: 1
• Type of house: Apartment
• Construction year of the house: 2017
• Interior decoration: Furnished (please note that there is no furniture in the bedrooms right now, but owner is willing to place furniture)
• Quality of public transportation: Good                       "
https://www.pararius.com/house-for-rent/voorhout/eb90ff83/rijnsburgerweg,"€6,500 per month",2215 RA (Voorhout buitengebied),348 m²,"€6,500 per month",Description Delightful house with garden for rent in Voorhout with 5 bedrooms in the Voorhout buitengebied district.
https://www.pararius.com/house-for-rent/utrecht/7c1608d3/wilde-rucolavliet,"€2,990 per month",3545 CL (Rijnvliet),151 m²,"€2,990 per month",Description 928599 928599 Attention! You can only request a viewing online via this website. Please state the following information in your viewing request: 1. Number of adults who will live in the house                                                           
https://www.pararius.com/apartment-for-rent/leiden/9ef3bb55/bachstraat,"€1,725 per month",2324 HD (Fortuinwijk-Zuid),80 m²,"€1,725 per month","Description For rent: Spacious and energy-efficient apartment with terrace For rent: Spacious and energy-efficient apartment with terrace This beautiful 3-room apartment is located on the ground floor of the De Statenhof complex. The apartment is located at the front of the building. De Statenhof is located in a quiet area with lots of greenery and good accessibility, close to public transport and shops. Free parking in front of the door and in the immediate vicinity. In short; a very nice place to live!             "
https://www.pararius.com/apartment-for-rent/haarlem/dcab167f/zaanenstraat,"€1,750 per month",2022 CP (Molukkenbuurt),84 m²,"€1,750 per month","Description Available for temporary rent for approximately 3 months from 1 December 2024 to around 23 February 2025 (extension is not possible) – Ideal for bridging period. Charming fully furnished ground floor apartment with 2 bedrooms and a sunny garden, located just 10 minutes (by bike) from the city center. Lay-out      "
https://www.pararius.com/house-for-rent/nieuwegein/c3e1ec9f/nedereindseweg,"€1,850 per month",3438 AE (Zuilenstein-Zuid),81 m²,"€1,850 per month",Description Lovely house with garden for rent in Nieuwegein with 2 bedrooms in the Zuilenstein-Zuid district.
https://www.pararius.com/house-for-rent/eindhoven/9867c068/grasveld,"€1,950 per month",5658 GD (Grasrijk),100 m²,"€1,950 per month","Description DHVC Vastgoed offers you: Playfully arranged and ready-to-move-in patio house with sunny roof terrace and balcony (not furnished!). This modern home is located in a popular residential location in the young Grasrijk district (Meerhoven) and near Eindhoven Airport, ASML, High-tech campus, sports facilities, City center Veldhoven and the center of Eindhoven. (Not suitable for students)                               "
https://www.pararius.com/apartment-for-rent/rotterdam/199f30f0/statenweg,"€2,490 per month",3039 HL (Blijdorp),118 m²,"€2,490 per month",Description Charming apartment with balcony for rent in Rotterdam with 1 bedroom in the Blijdorp district.
https://www.pararius.com/room-for-rent/enschede/eb3d4eab/bisschopstraat,€650 per month,7513 AJ (Horstlanden-Stadsweide),151 m²,€650 per month,"Description Student room available in a nice student house on Bishop Street! Available from the 1st of December. Description of the room and house: Room on the second floor. Living room with balcony. Separate kitchen. The kitchen is equipped with built-in appliances (electric hob, extractor hood, dishwasher, fridge-freezer). Two bathrooms with shower, sink and mirror cabinet. Siding with washer/dryer.          "
https://www.pararius.com/house-for-rent/eindhoven/b7e9c17a/fuchsiastraat,"€1,600 per month",5644 LR (Gerardusplein),110 m²,"€1,600 per month","Description In the prime location ''Bloemenbuurt'', this property will be availabl. Fuchsiastraat is a quiet child-friendly street, near Gerardusplein and various amenities such as the Albert Heijn, primary school, nature and sports park Aalsterweg. Ground floor: Entrance
Authentic entrance party; hall with terrazzo-style tile floor, staircase and convenient cellar cabinet.                     "
https://www.pararius.com/apartment-for-rent/amsterdam/8399a6df/krooswijkhof,"€3,750 per month",1082 PB (Buitenveldert-Oost),135 m²,"€3,750 per month","Description Fully furnished three bedroom apartment, located in Amsterdam Buitenveldert, with balcony and parking in secured garage Fully furnished three bedroom apartment, located in Amsterdam Buitenveldert, with balcony and parking in secured garage This lovely apartment comes fully furnished and is located on the second floor of a well kept apartment complex with elevator. It has three good sized bedrooms, two bathrooms and a nice balcony. It also includes private parking in a secured garage next to the building.                               "
https://www.pararius.com/house-for-rent/leiden/b30f91b8/langebrug,"€1,920 per month",2311 TK (Pieterswijk),71 m²,"€1,920 per month","Description Langebrug, Leiden (approx. 71m²) €1920,- excl. G/W/E/TV/internet Spacious furnished double upper house located in the popular 'Pieterswijk'. In the heart of Leiden, a short distance from Central Station and several stores and restaurants.
Communal access through the garage door, behind which bikes can be parked. Private access, stairs to the second floor.
On this second floor there is the first spacious and bright bedroom, bathroom and laundry room. The bedroom is equipped with a double bed and a linen closet. The bathroom has a bathtub, walk-in shower, toilet and sink. The laundry room is equipped with a washing machine, among other supplies.     "
https://www.pararius.com/apartment-for-rent/enschede/0be087b5/piet-heinstraat,"€1,195 per month",7511 JE (City),114 m²,"€1,195 per month","Description Apartment available on Piet Heinstraat. Available from the 1st of November. Description of the apartment: Apartment with two bedrooms, a small storage and bathroom. Living room with open kitchen. The kitchen is equipped with built-in appliances (electric hob, extractor hood, dishwasher, fridge-freezer). Bathroom with walk-in shower, sink, mirror cabinet and washing machine.         "
https://www.pararius.com/house-for-rent/noordwijk-zh/5a3b6599/binnenweg,"€2,800 per month",2202 GL (Kern Zee),150 m²,"€2,800 per month","Description On a unique location in the center of Noordwijk aan Zee, close to shops, beach, boulevard, and sea, a spacious semi-detached house with a sunny garden and back entrance is located. The house was completely renovated in 2023 and equipped with new upholstery. Living area approx. 150 m2. The layout is as follows:
Ground floor: side entrance, hallway, toilet with toilet and fountain. Study room with PVC floor and walk-in closet. Living room with tiled floor and underfloor heating. Open kitchen with patio doors to the sunny south-facing garden. Very spacious cellar closet for storage. The kitchen is equipped with a fridge-freezer, 4-burner induction hob, convection oven, dishwasher, close-in boiler, etc. Utility room with meter cupboard and door to the garden.
First floor: landing, bedroom, 2nd bedroom with walk-in closet, spacious 3rd bedroom with south-facing balcony. Luxurious bathroom (2023) executed in marble with underfloor heating, bathtub, walk-in shower, 2nd toilet, designer radiator, and washbasin with mirror and lighting. Spacious storage room with connections for washing equipment and central heating combi boiler. The entire first floor has a new PVC floor.
The sunny garden has a new fence and a wooden shed.         "
https://www.pararius.com/apartment-for-rent/maastricht/f4c4721d/wycker-grachtstraat,"€1,940 per month",6221 CW (Wyck),94 m²,"€1,940 per month","Description New 2 bedroom apartment in the popular neighborhood ""Wyck"" in the center of Maastricht. The apartment is quietly located on the 3rd (top) floor of a small-scale complex. The apartment is accessible via the stairways and elevator. Layout: Entrance to hall where you have access to all areas. Spacious living room with parquet floor, semi-open design kitchen with various equipment (built-in dishwasher, refrigerator, induction hob and oven). Misc. modern fitted wardrobes. The livingroom is designed with many large windows at the front and rear, this results that it has a lot of natural light. The spacious terrace is located at the back. The living room has air conditioning. 2 bedrooms (approx. 12 and 10m2), the largest bedroom is furnished with a built-in wardrobe. The bathroom is equipped with bath, separate shower, bathroom furniture. Separate toilet. Small storage room with washing machine connection. The spacious storage room is located on the ground floor. Rental price: €1.940,- excl. Monthly service costs: €35,-     "
https://www.pararius.com/apartment-for-rent/buitenkaag/afe093dc/lisserdijk,"€1,875 per month",2158 LW (Buitenkaag),65 m²,"€1,875 per month","Description APARTMENT SENSU, for rent for a minimum of 2 months. With the Sensu apartments you will find the most extensive 2-person apartment. This series of luxurious apartments is characterized by its spacious layout and attractive decoration. Everything is aimed at using the large space of no less than 65 m2 as efficiently as possible. For example, in addition to a separate living room and bedroom, the Sensu apartments have a bathroom with both a bath and a separate shower and toilet. The kitchen is equipped with a refrigerator, dishwasher, ceramic hob, combi oven and safe. In addition, these apartments have a washing machine and dryer.
These apartments all have access to a balcony or terrace and have a beautiful unobstructed view. You can also make free use of the fast broadband internet [WiFi & Wired], the apartments are equipped with a DVD player and both the living room and bedroom have a satellite television with hundreds of free-to-air channels. All equipment in our apartments uses 100% green electricity.
The apartment is cleaned once a week including new bed and bath linen.          "
https://www.pararius.com/apartment-for-rent/buitenkaag/3014e048/lisserdijk,"€1,615 per month",2158 LW (Buitenkaag),45 m²,"€1,615 per month","Description Studio Syllable, for rent for a minimum of 2 months. Suitable for 1 person. The Syllable studio is characterized by efficiency. The space is arranged in such a way that your comfort and ease of use are paramount. These studios are very tastefully decorated. The Syllable studios have every conceivable luxury: a bathroom with toilet and separate shower. A luxury kitchen including refrigerator, ceramic hob, combi oven and safe. In addition, these studios have a washing machine and dryer. The studio has access to a balcony or terrace and has a beautiful unobstructed view. You can also make free use of the fast broadband internet [WiFi & Wired], the studios are equipped with a DVD player and the living/bedroom has a satellite television with hundreds of free-to-air channels. All equipment in our apartments uses 100% green electricity.         "
https://www.pararius.com/room-for-rent/maastricht/d93602bb/parallelweg,€995 per month,6221 BD (Wyck),44 m²,€995 per month,"Description Completely renovated trendy studio located in front of the central station of Maastricht.
In a former police office a total of 19 trendy studios have been realized, each with its own authentic features and hip style.  Layout: Entrance:
Through a large gate you have access to the grounds, parking spaces and the studios.                    "
https://www.pararius.com/apartment-for-rent/utrecht/31fcb251/oudegracht,"€2,400 per month","3511 AH (Lange Elisabethstraat, Mariaplaats en omgeving)",113 m²,"€2,400 per month","Description Living in a national monument on the most beautiful part of the Oudegracht! Location:
Located on the Oudegracht. Brand stores from Gstar, Nespresso, Superdry are your neighbors. Super many nice bars and restaurants in the street, but also at the shipyard level on the water. The central station is a 5-minute walk away via Hoog Catharijne.        "
https://www.pararius.com/apartment-for-rent/purmerend/9b0a2b78/tussenbuurt,"€2,950 per month",1448 LG (Europa),134 m²,"€2,950 per month","Description This is carefree living in a luxurious, stylish and very generous flat with many windows and a spacious terrace. In addition, it has three bedrooms and two bathrooms. This gorgeous flat is located in a complex that was completed very recently (2024). The building has all the luxuries such as a lift and there is a parking basement under the building, where you have one or two parking spaces. You can also use the shared bicycle storage. Layout                  "
https://www.pararius.com/room-for-rent/assen/dce39bd0/markt,€615 per month,9401 GT (Brinkkwartier),21 m²,€615 per month,Description Comfortable room for rent in Assen in the Brinkkwartier district.
https://www.pararius.com/apartment-for-rent/buitenkaag/ca495192/lisserdijk,"€2,260 per month",2158 LW (Buitenkaag),95 m²,"€2,260 per month","Description MAISONETTE LIBRO, for rent for a minimum of 2 months. Our Libro maisonettes are ideally suited for 4 people. These spacious, two-storey apartments are equipped with every imaginable comfort to make it as pleasant as possible for a group of four people. Naturally, these Libro maisonettes are spacious and very tastefully decorated and furnished. Every conceivable luxury is present: two separate bathrooms with both a bath and a separate shower and toilet. The kitchen is equipped with a refrigerator, dishwasher, ceramic hob, combi oven and safe. In addition, these apartments have a washing machine and dryer.          "
https://www.pararius.com/apartment-for-rent/tilburg/772a6926/hoefstraat,€970 per month,5014 NN (Hoefstraat Zuid),51 m²,€970 per month,"Description Interested in this property? It is important that you include a motivation and a description of your income in your application. Due to the overwhelming number of responses, we may not be able to reply to you. Available immediately! Very spacious apartment on the ground floor of a neat house, with a parking space.        "
