ID,Key,Gemiddelde WOZ,Meest voorkomende postcode
0,NL00      ,368,         .
1,GM1680    ,343,         .
2,WK168000  ,342,         .
3,BU16800000,333,      9468
4,BU16800009,579,      9468
5,WK168001  ,362,         .
6,BU16800100,350,      9463
7,BU16800109,487,      9463
8,WK168002  ,419,         .
9,BU16800200,404,      9467
10,BU16800209,515,      9467
11,WK168003  ,460,         .
12,BU16800300,456,      9466
13,BU16800309,,      9466
14,WK168004  ,455,         .
15,BU16800400,452,      9465
16,BU16800409,,      9465
17,WK168005  ,511,         .
18,BU16800500,515,      9469
19,BU16800509,483,      9469
20,WK168006  ,361,         .
21,BU16800600,360,      9658
22,BU16800609,,      9658
23,WK168007  ,319,         .
24,BU16800700,319,      9656
25,BU16800709,,         .
26,WK168008  ,375,         .
27,BU16800800,373,      9657
28,BU16800809,,      9657
29,WK168009  ,359,         .
30,BU16800900,357,      9655
31,BU16800909,,      9655
32,WK168011  ,269,         .
33,BU16801100,269,      9654
34,BU16801109,,      9654
35,WK168012  ,239,         .
36,BU16801200,239,      9659
37,BU16801209,,      9512
38,WK168013  ,385,         .
39,BU16801300,371,      9464
40,BU16801309,,      9464
41,WK168014  ,340,         .
42,BU16801400,327,      9462
43,BU16801401,454,      9462
44,BU16801409,398,      9462
45,WK168015  ,245,         .
46,BU16801500,243,      9514
47,BU16801501,,      9514
48,BU16801509,,         .
49,WK168016  ,284,         .
50,BU16801600,275,      9515
51,BU16801601,,      9515
52,BU16801609,,      9515
53,WK168017  ,327,         .
54,BU16801700,321,      9461
55,BU16801709,533,      9461
56,WK168018  ,302,         .
57,BU16801800,260,      9511
58,BU16801801,358,      9511
59,BU16801802,322,      9512
60,BU16801809,391,      9511
61,WK168019  ,348,         .
62,BU16801900,324,      9451
63,BU16801901,565,      9458
64,BU16801902,487,      9452
65,BU16801903,560,      9457
66,BU16801908,411,      9449
67,BU16801909,489,      9448
68,WK168020  ,423,         .
69,BU16802000,392,      9444
70,BU16802001,402,      9443
71,BU16802008,549,      9447
72,BU16802009,505,      9443
73,WK168021  ,468,         .
74,BU16802100,414,      9454
75,BU16802101,508,      9446
76,BU16802109,568,      9453
77,GM0358    ,494,         .
78,WK035800  ,466,         .
79,BU03580000,467,      1431
80,BU03580001,446,      1431
81,BU03580004,429,      1431
82,BU03580005,803,      1431
83,WK035801  ,453,         .
84,BU03580100,453,      1433
85,WK035802  ,583,         .
86,BU03580200,582,      1432
87,BU03580201,607,      1432
88,BU03580205,576,      1432
89,BU03580206,651,      1432
90,GM0197    ,313,         .
91,WK019701  ,422,         .
92,BU01970101,425,      7122
93,BU01970102,449,      7122
94,BU01970103,428,      7122
95,BU01970104,449,      7122
96,BU01970105,324,      7122
97,BU01970106,379,      7122
98,BU01970107,403,      7122
99,BU01970108,418,      7122
100,BU01970109,408,      7122
101,BU01970110,439,      7122
102,BU01970111,422,      7121
103,BU01970112,358,      7121
104,WK019702  ,310,         .
105,BU01970201,460,      7121
106,BU01970202,385,      7121
107,BU01970203,444,      7126
108,BU01970204,276,      7126
109,WK019703  ,290,         .
110,BU01970301,271,      7122
111,BU01970302,277,      7121
112,BU01970303,323,      7123
113,BU01970304,299,      7121
114,BU01970305,434,      7122
115,BU01970306,256,      7121
116,BU01970307,265,      7121
117,WK019704  ,308,         .
118,BU01970400,269,      7091
119,BU01970401,311,      7091
120,BU01970402,291,      7091
121,BU01970403,394,      7095
122,BU01970408,494,      7091
123,BU01970409,452,      7095
124,GM0059    ,256,         .
