Link,Huurprijs,Prijs details,Locatie,m2,Kamers,Specificaties,Huurovereenkomst,Bouwjaar,Badkamers,Faciliteiten,Balkon,Tuin,Energie label,Opslag,Parkeren,Type parkeerplaats,Garage,Beschrijving,Verzoek,Tuin m2,Buurt,Stad,Gemiddelde WOZ,Punten oppervlakte,Punten verwarming,Punten sanitair,Punten buitenruimten,Punten energie,Punten parkeerruimten,Punten keuken,Punten WOZ,COROP,Punten,Punten WOZ max,Punten zonder CAP
https://www.pararius.com/apartment-for-rent/den-haag/e73ec5f5/acaciastraat,1196.0,"Includes: Electricity, Gas, Internet, Water",2565 KH,27.0,2,,,1965.0,1.0,,Not present,Not present,G,,No,,No,"Description
ACACIASTRAAT, BOMENBUURT, THE HAGUE
(Eligible for 1 person registration)
PLEASE NOTE: THE PICTURES ARE OF A SIMILAR APARTMENT!
NOTE: In order to be considered for this apartment, we kindly ask you to send an application only through this ad or by email. We cannot schedule a viewing by phone.
Please send us a short introduction (max. 3 sentences) containing the following information:
\- Number of persons in the household
\- Who is your employer and what is the gross annual income/Name of school and info guarantor
\- Age of the persons in the household
Based on this, you will or will not be invited to the viewing.
Applying for a housing permit is mandatory. To qualify for this, a:
\- Maximum gross annual income (including vacation pay and allowances) for a single person household a € 47,699.
Are you looking for an inspiring place to live and study or work in The Hague? We offer a beautiful home and a flex space, ideal for students or creatives looking for a comfortable and efficient solution
This furnished studio is located next to the lively Fahrenheitstraat with many stores, lunchrooms, cafes and restaurants. Public transport is around the corner and the city center or beach can be reached quickly by bike. An ideal place for students, starters and young professionals.
Layout:
The studio is located on the second floor. It has an open kitchen, a lovely sitting area and a comfortable mezzanine. Also, the apartment has a separate bathroom with shower, sink and toilet. No separate bedroom but mezzanine. The common laundry room can be found in the hallway.
The flex space
The flex space features include printers, good coffee, toilets and an outdoor area.
Costs and support
As a tenant, you choose one package in which you purchase two services, each with its own contract. You pay a fixed price for this package. This is a cost-effective solution compared to renting a separate office/study space in the city, which often carries higher costs and offers less convenience.
We look forward to welcoming you to your new home and workplace!",False,,Bomenbuurt,den haag,263000.0,25.3125,6,8.0,-5.0,-15,0,0.0,60.535985767426816,False,45.66,26.350000303250848,79.84848576742681
https://www.pararius.com/apartment-for-rent/rotterdam/153afd8e/vierambachtsstraat,1395.0,Excludes: Service costs,3023 AT,30.0,2,,Temporary rental,1909.0,1.0,,Not present,Not present,,Not present,Yes,Paid,No,"Description
Completely renovated 2 room apartment on prime location!
Rental price: €1395,00 excluding G/W/E, internet/tv and municipal taxes
State: Furnished (impression of furniture in the pictures)
Available from: 01-11-2024
Rental period: 6 to 12 months (ShortStay)
Highlights:
- Ideal location
- Completely renovated and furnished
- Separate bedroom
- Luxury bathroom and kitchen.
The property:
The living room and open kitchen have large windows, from the living room you can reach both the new bathroom and bedroom. The toilet is located in the hallway. All facilities are private!
Location:
Rotterdam-West / Middelland is a city neighborhood with authentic stores, coffeeshops and restaurants. In addition, there are beautiful canals and spacious (play) squares on the Heemraadssingel. The Erasmus MC is also a short distance away. Added to this, the house is conveniently located to the city center. Public transport - including metro station Coolhaven 300 m - and the highways (A13/A20) are a short distance from the house, but also walking and / or cycling, the city center and Central Station are easily and quickly accessible.
For this property please contact HouseHunting Randstad!
Although this text has been prepared with care, no rights can be derived from this text. Sizes are indicative and not NEN measured. Grant subject to approval by landlord/owner. Deposit amount may vary depending on profile. No pets allowed. No smoking. Lease for a definite period. General conditions of ROZ applicable.",False,,Nieuwe Westen,rotterdam,351000.0,28.125,6,4.0,-5.0,-15,0,0.0,75.09170305676855,False,48.89,30.761512008733625,93.21670305676855
https://www.pararius.com/apartment-for-rent/utrecht/5479b247/kanaalstraat,1200.0,Excludes: Service costs,3531 CH,25.0,2,,Temporary rental,1965.0,1.0,,Not present,Not present,,Not present,Yes,Paid,No,"Description
PLEASE NOTE: ONLY SUITABLE FOR ONE PERSON!!!!!!
Fully Furnished Semi-Studio on the first floor in a prime location!
The Studio:
-The studio is located on the 1st floor at the rear
-The studio is offered fully furnished
-The large windows allow plenty of natural light
-The studio features a luxury kitchen with a refrigerator, freezer, and dishwasher
-The bathroom with a toilet is shared with one person
-There's a spacious roofterrace for private use
The Area:
The apartment is located in the lively and vibrant Lombok neighborhood. Kanaalstraat is one of the most well-known streets in Utrecht. Many supermarkets, shops, and restaurants are within walking distance, all with extended opening hours. This makes the area very attractive for full-time students or a couple. Public transport is very well-organized. Utrecht Central Station is just a 5-minute bike ride away.
Details:
-Available immediately in 2024
-Suitable for 1 person
-Parking with a permit
-The rent is €1200, including gas, water, electricity, and internet
-The deposit is 2 months' rent
Book a viewing quickly to see this beautiful studio in a prime location!",False,,Lombok-West,utrecht,428000.0,23.4375,6,4.0,-5.0,-15,0,2.25,103.75982532751091,False,55.11,39.4176173580786,119.44732532751091
https://www.pararius.com/apartment-for-rent/delft/c727eee6/brabantse-turfmarkt,1200.0,"Includes: Electricity, Gas, Water",2611 CP,36.0,1,,,1592.0,1.0,,Not present,,,,,,,"Description
Comfortable apartment for rent in Delft in the Centrum district.",False,,Centrum,delft,386000.0,33.75,3,4.0,0.0,-15,0,0.0,72.82193110140709,False,58.28,32.52873726346434,98.57193110140709
https://www.pararius.com/apartment-for-rent/delft/99c72ce8/brabantse-turfmarkt,1200.0,"Includes: Electricity, Gas, Water",2611 CP,41.0,1,,,1562.0,1.0,,Not present,,,,,,,"Description
Nice apartment for rent in Delft in the Centrum district.",False,,Centrum,delft,386000.0,38.4375,3,4.0,0.0,-15,0,0.0,67.1119395036745,False,62.63,32.191315036212586,97.5494395036745
https://www.pararius.com/apartment-for-rent/leidschendam/3df8f7a4/vinkenborghlaan,1279.0,"Includes: Electricity, Gas, Internet, Water",2265 GH,30.0,2,,,1992.0,1.0,,Not present,Not present,G,,No,,No,"Description
ONLY AVAILABLE FOR STUDENTS
MAX 24 MONTH CONTRACT
-----
PLEASE NOTE: To qualify for this apartment, we kindly request that you only send an inquiry via this advertisement or by email. We cannot schedule a viewing by telephone.
Please send us a short introduction (max. 3 sentences) containing the following information:
- Number of people in the household
- Who is your employer and what is the gross annual income/name of the school and information guarantor
- Age of the people in the household
Based on this, you will or will not be invited to the viewing.
-------
Furnished studio in Leidschendam!
The apartment is located on the ground floor at the frontside and has all comforts such as bathroom (toilet, shower and sink) and fully equipped kitchen. Communal washing machines/dryers in the common areas. An ideal independent apartment for students and young starters!
Surroundings
The Damplein with supermarket, restaurants, lunchrooms, ice cream parlors, etc. is a 5-minute walk away. Bus 45 to The Hague Central is around the corner and Mall of The Netherlands is only 5 minutes by bike! The nearby highways A4 and A12 are easily accessible. The center of The Hague is 20 minutes by bike. The location is ideal if you want to live quietly but still want to be close to everything.
-----
Applying for a housing permit is mandatory.
---
2 persons is possible, but then the price will go up with € 75,-",False,,De Rietvink / Veursestraatweg,leidschendam,474000.0,28.125,6,8.0,-5.0,-15,0,0.0,100.99563318777292,False,62.75,40.62980895196507,123.12063318777292
https://www.pararius.com/apartment-for-rent/rotterdam/7e0e5798/witte-de-withstraat,1395.0,"Includes: Electricity, Gas, Service costs, Water",3012 BT,45.0,1,,,1872.0,1.0,Bath,Not present,,,,,,,"Description
Fully furnished Hotel Studios ranging from 40m2 to 50m2 with a view over the Witte de Withstraat. Located in the heart of Rotterdam. In the bustling street, Witte de Withstraat, you will find art, culture, theatre, film, the pub and good food. Everything less than a step away from the front door. Both Leuvenhaven metro station and Beurs train station are within walking distance. Rental period only 2 to 4 months.
Layout: Communal entrance. Entrance on the 1st/2nd or 3rd floor. Entrance of studio which is located at the front with fantastic views over the Witte de With or at the rear. The studios are equipped with a double bed, two-seater sofa, side table and TV. The breakfast bar is equipped with a coffee maker, kettle and refrigerator. The bathroom has a bath, sink with mirror and toilet. Weekly laundry service of your own laundry, bed linen and towels.",False,,Cool,rotterdam,374000.0,42.1875,3,4.0,0.0,-15,0,0.0,61.29306162057254,False,65.7,31.508585334788936,95.48056162057253
https://www.pararius.com/apartment-for-rent/nijmegen/9650ba4e/heidebloemstraat,1250.0,Excludes: Service costs,6533 SL,38.0,2,,Temporary rental,1965.0,1.0,"Fibre-optic connection
Intercom
Shower
Storage space
Toilet",Not present,Not present,F,Not present,Yes,Public,No,"Description
Comfortable apartment for rent in Nijmegen in the Hatertse Hei district.",False,,Hatertse Hei,nijmegen,361000.0,35.625,6,8.0,-5.0,-9,0,0.0,65.48471615720524,False,68.99,33.366206331877734,101.10971615720524
https://www.pararius.com/apartment-for-rent/rotterdam/1ac194b8/witte-de-withstraat,1395.0,"Includes: Electricity, Gas, Service costs, Water",3012 BT,50.0,1,,,1872.0,1.0,Bath,Not present,,,,,,,"Description
Fully furnished hotel studios ranging from 40m2 to 50m2 with a view of the Witte de With street. Located in the center of Rotterdam. In the bustling Witte de Withstraat you will find art, culture, theater, cinema, the pub and fine dining. Anything less step away from the door. Both metro station Leuvenhaven and Train Fair are within walking distance.Rental period only 3 to 6 months.
Layout: Shared entrance. Entrance on the 1st / 2nd or 3rd floor. Entrance of  studio which is situated at the front with fantastic views over the Witte or at the backsite. The studios are equipped with a double bed, two seater sofa, coffee table and TV. The breakfast bar is provided with a coffee maker, electric kettle, and refrigerator. The bathroom features a bathtub, washbasin, mirror and toilet. Weekly laundry service included including change of bedlinnen and towels. Maximum rental period of 3 months. ",False,,Cool,rotterdam,374000.0,46.875,3,4.0,0.0,-15,0,0.0,57.66375545851528,False,70.73,31.857789301310046,96.53875545851528
https://www.pararius.com/apartment-for-rent/rotterdam/c343e628/witte-de-withstraat,1295.0,"Includes: Electricity, Gas, Service costs, Water",3012 BT,50.0,1,,,1872.0,1.0,Bath,Not present,,,,,,,"Description
Fully furnished hotel studios ranging from 40m2 to 50m2 with a view of the Witte de With street. Located in the center of Rotterdam. In the bustling Witte de Withstraat you will find art, culture, theater, cinema, the pub and fine dining. Anything less step away from the door. Both metro station Leuvenhaven and Train Fair are within walking distance.Rental period only 3 to 6 months.
Layout: Shared entrance. Entrance on the 1st / 2nd or 3rd floor. Entrance of  studio which is situated at the front with fantastic views over the Witte or at the backsite. The studios are equipped with a double bed, two seater sofa, coffee table and TV. The breakfast bar is provided with a coffee maker, electric kettle, and refrigerator. The bathroom features a bathtub, washbasin, mirror and toilet. Weekly laundry service included including change of bedlinnen and towels.",False,,Cool,rotterdam,374000.0,46.875,3,4.0,0.0,-15,0,0.0,57.66375545851528,False,70.73,31.857789301310046,96.53875545851528
