Link,Huurprijs,Prijs details,Locatie,m2,Kamers,Specificaties,Interieur,Huurovereenkomst,Bouwjaar,Badkamers,Faciliteiten,Balkon,Tuin,Energie label,Opslag,Parkeren,Type parkeerplaats,Garage,Beschrijving,Verzoek,Tuin m2,Buurt,Stad,Gemiddelde WOZ,Punten oppervlakte,Punten verwarming,Punten sanitair,Punten buitenruimten,Punten energie,Punten parkeerruimten,Punten keuken,Punten WOZ,COROP,Punten,Punten WOZ max,Punten zonder CAP,Overige punten,Punten (checked),Redelijk
https://www.pararius.com/apartment-for-rent/rotterdam/153afd8e/vierambachtsstraat,1395.0,Excludes: Service costs,3023 AT,30.0,2.0,,Furnished,Temporary rental,1909.0,1.0,,Not present,Not present,,Not present,Yes,Paid,No,"Description
Completely renovated 2 room apartment on prime location!
Rental price: €1395,00 excluding G/W/E, internet/tv and municipal taxes
State: Furnished (impression of furniture in the pictures)
Available from: 01-11-2024
Rental period: 6 to 12 months (ShortStay)
Highlights:
- Ideal location
- Completely renovated and furnished
- Separate bedroom
- Luxury bathroom and kitchen.
The property:
The living room and open kitchen have large windows, from the living room you can reach both the new bathroom and bedroom. The toilet is located in the hallway. All facilities are private!
Location:
Rotterdam-West / Middelland is a city neighborhood with authentic stores, coffeeshops and restaurants. In addition, there are beautiful canals and spacious (play) squares on the Heemraadssingel. The Erasmus MC is also a short distance away. Added to this, the house is conveniently located to the city center. Public transport - including metro station Coolhaven 300 m - and the highways (A13/A20) are a short distance from the house, but also walking and / or cycling, the city center and Central Station are easily and quickly accessible.
For this property please contact HouseHunting Randstad!
Although this text has been prepared with care, no rights can be derived from this text. Sizes are indicative and not NEN measured. Grant subject to approval by landlord/owner. Deposit amount may vary depending on profile. No pets allowed. No smoking. Lease for a definite period. General conditions of ROZ applicable.",False,,Nieuwe Westen,rotterdam,351000.0,28.125,6.0,4.0,-5.0,-15.0,0.0,0.0,75.09170306,False,48.89,30.76151201,93.21670306,,48.89,False
https://www.pararius.com/apartment-for-rent/nijmegen/9650ba4e/heidebloemstraat,1250.0,Excludes: Service costs,6533 SL,38.0,2.0,,,Temporary rental,1965.0,1.0,"Fibre-optic connection
Intercom
Shower
Storage space
Toilet",Not present,Not present,F,Not present,Yes,Public,No,"Description
Comfortable apartment for rent in Nijmegen in the Hatertse Hei district.",False,,Hatertse Hei,nijmegen,361000.0,35.625,6.0,8.0,-5.0,-9.0,0.0,0.0,65.48471616,False,68.99,33.36620633,101.1097162,3.35,72.34,False
https://www.pararius.com/apartment-for-rent/velp-gld/d4de4f8e/middellaan,1400.0,Excludes: Service costs,6881 RP,23.0,1.0,,Furnished,Temporary rental,1912.0,1.0,"Fibre-optic connection
Mechanical ventilation
Shower
Toilet",Not present,,G,,Yes,Public,,"Description
Are you looking for temporary housing in Velp? Then a short stay in Velp is the perfect solution for you! With a temporary rental, you enjoy the comfort of a place of your own, without the high costs of a hotel. You are assured of a fixed and cozy location during your stay, making you feel at home quickly. We offer three studios ranging from 20 m² to 24 m², ideal for a short stay. The rent for the studios is €1700 per month, including electricity, water, internet, and monthly cleaning service. You can also use the common laundry room on the 1st floor, including a washer and dryer, for added convenience during your stay. Moreover, the apartment complex is just a 5-minute drive from Arnhem. In short, a short stay in Velp offers the perfect combination of homeliness, comfort, and convenience!
The short stay studios are move-in ready and fully luxuriously furnished. The studios can be provided with comfort and convenience.
These centrally located studios in Velp offer an excellent location for anyone looking for convenience and comfort. The complex is just a 5-minute drive from Arnhem, so you can quickly get to the city. Right next to the complex you will find a Lidl for your daily groceries, and the center of Velp is only 2 minutes walking. The Velp train station is also nearby, providing excellent accessibility by public transportation. In short, an ideal location with everything within easy reach!
Communal entrance with intercom, mailboxes, and stairs to the 1st and 2nd floor.
Spacious corridor providing access to 2 apartments and 3 studios.
From your own front door, you enter the studio, which has an open layout with a cozy sitting area and a sleeping area. The studio features stylish wooden PVC flooring with underfloor heating. Moreover, the studio has its own bathroom and kitchen, allowing you to enjoy optimal privacy and comfort during your stay.
The studio is fully furnished and equipped with smart TV, internet, double box spring and a closet and equipped with sleek wall and ceiling finishes. Also, the studio enjoys plenty of light through the large windows and unobstructed views.
The modern and luxurious open kitchen is fully equipped with all amenities. You will find an induction hob, extractor hood, combination microwave, refrigerator with freezer drawers, dishwasher, and all necessary kitchen inventory for a comfortable stay.
The fully tiled marble bathroom has a modern look and is equipped with both a rain shower and a handheld shower, complete with a thermostatic faucet for optimal comfort. In addition, the bathroom features a hanging sink with drawers for practical storage and a hanging toilet for a sleek finish.
Studio offer:
House number 2: This studio has a living area of 20 m² and has a rent of € 1700 per month.
House number 3: This studio has a living area of 23.61 m² and has a rental price of € 1700 per month.
House number 4: This studio has a living area of 21,99 m² and has a rental price of € 1700 per month.
Details:
Rent € 1,700.00 p/m including cleaning costs, electricity, water, and internet;
Deposit 1.5 months rent;
Maximum rental period 6 months;
New and luxury furnished and equipped with all inventory;
Living area between approx. 20 m² / 24 m²;
Closed and covered bicycle storage;
Free public parking.",False,,Velp-Noord boven spoorlijn,velp gld,501000.0,21.5625,7.0,8.0,0.0,-15.0,0.0,4.75,129.120562,False,77.61,51.29291046,155.433062,-5.0,72.61,False
https://www.pararius.com/apartment-for-rent/maastricht/b7c0e9e3/hoogbrugstraat,1295.0,Excludes: Service costs,6221 CP,50.0,2.0,,Furnished,Unlimited period,1910.0,1.0,"Internet connection
Roller blinds
Sewer connection
Shower
Skylight
Toilet",Not present,Not present,,Not present,No,,No,"Description
For rent in the center of Maastricht a beautifully furnished 1-bedroom apartment.
The apartment is located on the second floor of a monumental building.
The apartment is accessible by stairs. Through the entrance hall you have access to all rooms. The living room is approx. 25m2 and gives access to the open kitchen which is provided with a 4 burner hob, extractor, dishwasher, oven, microwave and sink. The bathroom has a shower with glass wall, sink with cupboard, toilet, washing machine and dryer. The bedroom is approx. 10m2. The apartment is rented fully furnished.
The rent is € 1.295 excluding heating, water, electricity, service charges and internet, the amount for these services is € 300,- a month. This makes the total rent price € 1.595,-. The deposit is € 2.890,-. Pets are not allowed.",False,,Wyck,maastricht,402000.0,46.875,6.0,8.0,-5.0,-15.0,0.0,2.25,62.10917031,False,77.85,34.7272762,105.2341703,1.75,79.6,False
https://www.pararius.com/apartment-for-rent/middelburg/bf655060/seisdam,1300.0,Excludes: Service costs,4331 NT,60.0,2.0,,Furnished,Unlimited period,1915.0,1.0,"Shower
Toilet",Not present,Not present,,Not present,Yes,Paid,No,"Description
I",False,,Stadhuis,middelburg,243000.0,56.25,6.0,8.0,-5.0,-15.0,0.0,0.0,33.68558952,False,77.95,27.69874454,83.93558952,,77.95,False
https://www.pararius.com/apartment-for-rent/rotterdam/81415b6e/saftlevenstraat,1250.0,Excludes: Service costs,3015 BK,60.0,2.0,,Furnished,Temporary rental,1895.0,1.0,,Present,Not present,,Not present,No,,No,"Description
Spacious studio on excellent location!
Rental price: €1500,00 including all costs
State: Unfurnished
Available from: Directly
Minimum rental period: 12 months
Highlights:
- Ideal location
- Large windows
- Shared laundry room
The property:
Neat, fully self-contained studio. The studio is equipped with a kitchen, bathroom, and a shared laundry room. The kitchen comes with the necessary appliances. Additionally, the studio is fully furnished with a sofa, a small dining table for two, a bed, and a TV. The toilet is located in the hallway.
Location:
Oude Westen is an urban residential area with all city centre facilities within walking distance. For a trendy restaurant, a hip bar, the best bread, the latest film or music, you don't have to leave your own neighbourhood. Heartwarming living in the city, who wouldn't want that?
'For this property, please contact HouseHunting Randstad!
Although prepared with care, no rights can be derived from this text. Sizes are indicative and not NEN measured. Grant subject to approval by landlord/owner. Deposit amount may vary, depending on profile. No pets allowed. No smoking. Lease agreement for a definite period. General terms and conditions of ROZ applicable.",False,,Oude Westen,rotterdam,344000.0,56.25,6.0,4.0,2.0,-15.0,0.0,0.0,48.0363901,False,86.67,33.42450873,101.2863901,,86.67,False
https://www.pararius.com/apartment-for-rent/veldhoven/6ecf226a/dorpstraat,1387.0,Excludes: Service costs,5504 HA,67.0,2.0,,Furnished,Unlimited period,1930.0,1.0,,Not present,Not present,G,Present,No,,No,"Description
Type: 2-bedroom apartment
Location: Dorpstraat / Veldhoven
UNIQUE CHANCE!!! HIGH-QUALITY FINISHED 2-ROOM APARTMENT SITUATED ON A TRULY FANTASTIC LOCATION ON THE DORPSTRAAT IN VELDHOVEN. THIS APARTMENT IS SITUATED IN A CHARACTERISTIC VILLA WITH ALL DESIRED AMENITIES SUCH AS RESTAURANTS AND SHOPPING FACILITIES WITHIN WALKING DISTANCE. ALSO VERY CONVENIENTLY LOCATED TO ASML.
Global layout:
Ground floor:
Gate with access to the central entrance with doorbells and stairs to the 1st floor.
1st floor: Access apartment. Hall with access to the various rooms.
Spacious living room with large windows making the apartment very light and spacious. From the living room has a fantastic view of the Dorpstraat. The living room is equipped with luxury designer furniture and a modern kitchen corner unit. The kitchen is fully equipped including a combi microwave, dishwasher, hood and fridge freezer.
Storage room with washing machine.
Luxury bathroom with shower and washbasin. Separate toilet with hand basin.
Spacious bedroom equipped with a double bed, closet and also a large window.
The composition of the rent is as follows;
- Basic rent €1,187,43
- Use of furniture €200.00
- Consumption G/W/E & TV + internet € 262.50
Rental period indefinite with a minimum duration of 12 months.",False,,Veldhoven,veldhoven,442000.0,62.8125,6.0,8.0,-5.0,-15.0,0.0,3.25,58.80792544,False,99.29,39.22724039,118.8704254,,99.29,False
https://www.pararius.com/apartment-for-rent/rotterdam/700298de/kleiweg,1375.0,Excludes: Service costs,3051 XR,55.0,2.0,,Furnished,Temporary rental,2000.0,1.0,"Shower
Laundry room",,"Present (30 m², located on the north)",G,,Yes,Permit,,"Description
Requirements for this property:
Pets are not allowed
Maximum 2 person(s)
Also available for students with a guarantor
If you do not meet the income requirements, it is also possible to rent this property if you have a guarantor.
For rent:
Also available for students with guarantor.
A nicely furnished 1-bedroom apartment located on the ground floor with a lovely back garden.The apartment is very well nearby exit roads, shops and public transport.The living room is located at the front and the bedroom is at the rear, which has French doors to the beautiful garden.The kitchen, shower and toilet can be reached via the hall. The kitchen is located separately and also gives access to the garden.
Ground floor:
Hall (4.00 m x 0.85 m) 3.40 m2
Livingroom (6.20 m x 3.15 m) 19.53 m2
Bedroom 1 (4.45 m x 3.15 m) 14.02 m2
Kitchen (2.35 m x 1.75 m) 4.11 m2
Bathroom (1.70 m x 0.85 m) 1.45 m2
Laundry/Storage room (1.60 m x 0.90 m) 1.44 m2
Garden (5.80 m x 4.70 m) 27.26 m2
Storage (2.80 m x 2.30 m) 6.44 m2",False,30.0,Hillegersberg Zuid,rotterdam,414000.0,51.5625,6.0,8.0,12.5,-15.0,0.0,0.0,60.87018658,False,103.96,40.89778657,123.9326866,4.0,107.96,False
https://www.pararius.com/apartment-for-rent/tilburg/18f240e6/offenbachstraat,1400.0,,5011 EH,76.0,4.0,,,,1972.0,1.0,,,,,,,,,"Description
Beautiful apartment for rent in Tilburg with 2 bedrooms in the Heikant Oost district.",False,,Heikant Oost,tilburg,302000.0,71.25,12.0,4.0,0.0,-15.0,0.0,0.0,37.3523328,False,108.42,36.16876982,109.6023328,4.0,112.42,False
https://www.pararius.com/apartment-for-rent/roosendaal/d3ba553a/molenstraat,1395.0,Excludes: Service costs,4701 JZ,67.0,2.0,,Furnished,Temporary rental,1920.0,1.0,,Not present,Not present,D,Present,No,,No,"Description
928499
Attention! You can only request a viewing online via this website.
Please state the following information in your viewing request:
1. Number of adults who will live in the house
2. Number of children who will live in the house
3. Do you have pets, if so? Which?
4. The joint net monthly income
5. Can you pay an increased deposit, if so? How much?
6. The reason for moving
7. By when you want to move into the house
************************************************
Description provided by lessor and conditions:
Rental price
The rental price is excluding gas/water/electricity, but including service costs.
Deposit
At the start of the rental agreement, a deposit is required.
The apartment will be rented through 'Overbruggingsverhuur'. Overbruggingsverhuur provides a temporary rental agreement for properties. There is no waiting list and we offer well-kept houses for an affordable rent.
Rental period
The rental period is 12 months.
General information
In order to rent an Overbruggingsverhuur rental house, the tenant has to meet certain conditions. A summary of these conditions is outlined below.
Conditions regarding house hold income
To meet the income requirement, your net income will need to be approx. 3 times the rental price. Any other payment commitments (for example debt collection agency) will be deducted from the house hold income. Another possibility to meet this requirement is to pay a higher deposit.
Questions about the property?
You can contact the landlord for all these questions.
************************************************
Register gas and electricity?
When allocating the house, the utilities must be registered in the name of the tenant. By responding to a property, a candidate tenant / interested party also gives permission to be informed through us of the cheapest energy suppliers.
Disclaimer
Er kunnen geen rechten worden ontleend aan de aangeboden informatie. Indien u zekerheid wenst te hebben over de verstrekte informatie en de actualiteit daarvan, dient u contact op te nemen met Overbruggingsverhuur (huren@). Overbruggingsverhuur kan niet aansprakelijk worden gesteld voor eventuele gevolgen of schade verband houdende met de aangeboden informatie.",False,,Centrum-Oud,roosendaal,229000.0,62.8125,6.0,4.0,-5.0,14.0,0.0,0.0,29.92537313,False,111.74,29.92537313,111.7378731,,111.74,False
