Link,Huurprijs,Locatie,m2,Kamers,Interieur,Huurovereenkomst,Type woning,Bouwjaar,Badkamers,Faciliteiten,Balkon,Tuin,Omschrijving tuin,Energie label,Opslag,Parkeren,Type parkeerplaats,Garage,Beschrijving,Verzoek,Tuin m2,Buurt,Gemeente,Gemiddelde WOZ,Punten
https://www.pararius.com/apartment-for-rent/heerlen/68306638/leenheerstraat,900.0,6411 TS,77.0,4,Shell,Unlimited period,,1930.0,1.0,,Not present,Not present,,G,Not present,No,,No,"Description
Start your better living with this stunning 3-bedroom apartment that offers the perfect blend of space, lighting, and convenience. This safe and spacious apartment is waiting for you to make it the ideal place for your family.
KEY FEATURES
Private entrance
Modern kitchen
Secure parking at street level
Beautiful bathroom
PRICING:
Rent: €1,250 per month
Office Fee: €450
Security deposit: €1,250
ADDITIONAL INFORMATION:
The information and dimensions of this property have been compiled with care but may differ from reality. No rights can be derived from this information.
Ready to experience a better living? Make your next move with us!",False,,Eikenderveld,heerlen,159000.0,75.2
https://www.pararius.com/house-for-rent/bocholtz/5438859a/de-baan,900.0,6351 BK,110.0,5,Shell,Unlimited period,,1975.0,1.0,,Not present,Present (located on the south),,C,Not present,No,,No,"Description
Start your better living with this stunning 4-bedroom family house that offers the perfect blend of space, lighting, and convenience. This safe and spacious house is waiting for you to make it the ideal place for your family.
KEY FEATURES
Private entrance
Modern kitchen
Secure parking at street level
Patio
PRICING:
Rent: €1,250 per month
Office Fee + Utilities: €450
Security deposit: €1,250
ADDITIONAL INFORMATION:
The information and dimensions of this property have been compiled with care but may differ from reality. No rights can be derived from this information.
Ready to experience a better living? Make your next move with us!",False,,Bocholtz,bocholtz,230000.0,155.26
https://www.pararius.com/apartment-for-rent/noordwijk-zh/e09badea/vuurtorenplein,949.0,2202 PD,43.0,2,Furnished,,,1962.0,1.0,,,Not present,,F,,,,No,"Description
Location:
Beautiful apartment in Noordwijk aan Zee, located on the 5th floor with a sea view from the balcony. The apartment is directly on the lively boulevard, 5 minutes walk from all shops and 3 minutes from the dune area where there are many opportunities for sports such as running, boot camps, mountain biking and kite surfing.
Layout:
Living room, kitchen with balcony from where you can enjoy the sunset, bedroom and bathroom.
Cost:
Rent: €799,00 per month
Furnishing/upholstery costs: €150,00 per month
Heating advance: €175,00 per month
Service costs: €50,00 per month
Total monthly rent: €1174,00
Excluding G/W/E, internet and user tax
Deposit: total rent for 1 month
Special features:
- Available from 11-11-2024
- The property is rented furnished
- The property is available for a minimum of 12 months
- Smoking is prohibited
- No pets
- Own storage room
- maximum of 2 persons
123Wonen Leiden acts as a rental agent for the owner of this accommodation. So no agency fees apply for this object. Can you find this offer on a website other than ******? Check out our own website for the current offer: ******
Tip us a landlord and if 123Wonen is allowed to act as a rental agent there, you will receive € 100.00 as a thank you after a successful mediation.
Registration and conditions see ******
For more information or a non-binding viewing, we cordially invite you to contact ******",False,,Boulevard,noordwijk-zh,680000.0,108.15
https://www.pararius.com/apartment-for-rent/rotterdam/5cb26bcd/van-malsenstraat,949.0,3074 PX,47.0,3,Upholstered,,,1926.0,1.0,,Not present,Not present,,,,No,,,"Description
Charming 3-room apartment available, located in the Feijenoord district! Ideal location in relation to the city center, public transport, shopping facilities, and bars and restaurants. If you're curious to see if this could become your new ""home,"" submit a pre-registration. The apartment is perfectly suited for a starter (the property is not suitable for more occupants).
LAY-OUT: Entrance at street level, leading to the communal area. You take the stairs to the 1st floor, where the apartment is located. Front door, entrance into the hallway where the separate toilet is located. Living room of approximately 28 m². Open kitchen equipped with a hob, fridge, extractor fan, combination oven, and dishwasher. Two bedrooms of approximately 13 m² and 5 m². Bathroom featuring a shower and washbasin.
The entire apartment features laminate flooring, light fixtures, window coverings, double glazing, and is heated via central heating. The connection for the washing machine/dryer is located in the communal area and is private.
DETAILS:
- Pathé cinema nearby
- Various nice restaurants and cafes nearby
- Perfect for a starter (the property is not suitable for more occupants)
- Non-independent rental
RENTAL PRICE:
- Excluding advance payment of € 175,00 p/m for the use of gas, water and electricity
- Excluding television / internet (to be concluded by yourself)
RENTAL CONDITIONS:
- Property is suitable for a maximum of 1 person
- Lease term: minimum 1 year + indefinite period
- Deposit equal to the (total) monthly rent
- Housing permit not required
- No pets allowed
Alleen bij Rotterdam: - Parking permit: please see here (******) more information about the -possible- waiting list regarding the parking residents permit
REQUIREMENTS:
See under the tab ""rental conditions"" which documents are required for renting this property.
* No legal rights can be derived from the above text",False,,Hillesluis,rotterdam,216000.0,55.94
https://www.pararius.com/apartment-for-rent/harderwijk/409a46db/jan-luykenlaan,1080.0,3842 LP,45.0,2,,,,2021.0,,,,Not present,,A++,,,,No,"Description
Nice apartment for rent in Harderwijk with 1 bedroom in the Stadsdennen Noord district.",False,,Stadsdennen Noord,harderwijk,319000.0,
https://www.pararius.com/apartment-for-rent/groningen/7eeee568/breitnerstraat,1050.0,9718 ML,28.0,2,Furnished,Temporary rental,,1993.0,1.0,,Not present,,,A++,,,,,"Description
Comfortable apartment for rent in Groningen with 1 bedroom in the Schildersbuurt district.",False,,Schildersbuurt,groningen,298000.0,146.63
https://www.pararius.com/apartment-for-rent/groningen/7eeee568/breitnerstraat,1050.0,9718 ML,28.0,2,Furnished,Temporary rental,,1993.0,1.0,,Not present,,,A++,,,,,"Description
Comfortable apartment for rent in Groningen with 1 bedroom in the Schildersbuurt district.",False,,Schildersbuurt,groningen,266000.0,143.97
https://www.pararius.com/apartment-for-rent/groningen/7eeee568/breitnerstraat,1050.0,9718 ML,28.0,2,Furnished,Temporary rental,,1993.0,1.0,,Not present,,,A++,,,,,"Description
Comfortable apartment for rent in Groningen with 1 bedroom in the Schildersbuurt district.",False,,Schildersbuurt,groningen,302000.0,146.63
https://www.pararius.com/apartment-for-rent/groningen/7eeee568/breitnerstraat,1050.0,9718 ML,28.0,2,Furnished,Temporary rental,,1993.0,1.0,,Not present,,,A++,,,,,"Description
Comfortable apartment for rent in Groningen with 1 bedroom in the Schildersbuurt district.",False,,Schildersbuurt,groningen,282000.0,145.3
https://www.pararius.com/apartment-for-rent/groningen/7eeee568/breitnerstraat,1050.0,9718 ML,28.0,2,Furnished,Temporary rental,,1993.0,1.0,,Not present,,,A++,,,,,"Description
Comfortable apartment for rent in Groningen with 1 bedroom in the Schildersbuurt district.",False,,Schildersbuurt,groningen,332000.0,149.29
