Link,Huurprijs,Prijs details,Locatie,m2,Kamers,Specificaties,Huurovereenkomst,Bouwjaar,Badkamers,Faciliteiten,Balkon,Tuin,Energie label,Opslag,Parkeren,Type parkeerplaats,Garage,Beschrijving
https://www.pararius.com/apartment-for-rent/groningen/b02615fb/van-schendelstraat,"€1,400 per month",,9721 GV (Sterrebosbuurt),60 m²,1 room,,,1972,1,,,Not present,A+,,,,No,"Description
123Wonen The rental agent offers:
New flat with energy label A+ for rent!
Location: Van Schendelstraat 1-45, Groningen
Summary:
- unfurnished flat for rent for min. 12 months and max. 24 months
- suitable for one person or a couple
- income requirement € 4.900,- gross per month
This loft is unfurnished and situated at 15 minutes cycling distance from the centre of Groningen. Also, the arterial roads are nearby. The studio has just been completed with new kitchen and bathroom. The flat is suitable for one person or a couple.
Layout:
Newly modernised loft: living room with open kitchen (equipped with a dishwasher, combi oven-microwave, electric cooker and fridge-freezer) and bathroom. There is private (bicycle) storage.
General information:
- unfurnished;
- free parking on site (if space is available);
- private bicycle storage;
- new and modernised studio;
- suitable for 1 person or a couple
- energy label A+;
- pets and smoking not allowed;
- income requirement applies.
Period/Rent:
Available immediately for minimum 12 months and maximum 24 months.
Rent: € 1,400 exclusive per month.
Utilities: you have to arrange the contracts for gas, water, electricity, TV, internet and municipal taxes yourself.
Deposit: € 1,400.
---
123Wonen Groningen acts as a rental agent for the owner with this accommodation. So no agency fees apply for this object. If you want to rent after the viewing, the deposit on the first rent is €150, this is to reserve the house.
Have you canceled or are you going to cancel your previous rental home? Tip us your previous landlord and if 123Wonen is allowed to act as a rental agent there, you will receive € 100 as a thank you.
Can you find this offer on another website? Check our own website for the current offer: http://www.123wonen. nl/broker/Groningen
For more information or a non-binding viewing, we cordially invite you to contact:
123Wonen Groningen
Kraneweg 23
9718 JD Groningen
******"
https://www.pararius.com/apartment-for-rent/eindhoven/0ddd74e9/otterstraat,"€1,225 per month",,5622 AL (Kronehoef),57 m²,2 rooms,,,2022,1,"Lift
Mechanical ventilation
Awnings",Present,Not present,A,,No,,,"Description
Nice apartment with balcony for rent in Eindhoven with 1 bedroom in the Kronehoef district."
https://www.pararius.com/apartment-for-rent/kwadijk/7c14e948/stationsweg,"€1,295 per month",Excludes: Service costs,1471 CM (Kwadijk),48 m²,2 rooms,,Temporary rental,2022,1,"Lift
Intercom
Awnings
Shower
Toilet",Present,Not present,A+++,Not present,Yes,Public,No,"Description
Nice apartment with balcony for rent in Kwadijk with 1 bedroom in the Kwadijk district."
https://www.pararius.com/apartment-for-rent/maastricht/f0ec8395/maastrichter-brugstraat,"€1,325 per month","Includes: Electricity, Gas, Internet, Service costs, Water",6211 ES (Binnenstad),32 m²,2 rooms,"Monumental building, Protected townscape",Unlimited period,1875,1,"Cable TV
Intercom
Internet connection
Shower
Toilet",Not present,Not present,A,Not present,Yes,Permit,No,"Description
D E S C R I P T I O N :
Completely newly realized 1-bedroom apartment situated in a monumental building in the shopping center of Maastricht. The cozy apartment is fully furnished and upholstered and has an attractive appearance. Located right in the center within walking distance of various faculties of Maastricht University and various offices of national and international companies are also within easy reach. The central station with good train and bus connections is on about a 10-minute walk. In short, a beautiful and comfortable apartment!
S U R F A C E :
32m2
L A Y O U T :
Ground floor:
Front door
Stairwell
1st floor:
Front door
hello
Living room with open kitchen fully equipped including: dishwasher, induction hob, extractor, fridge with freezer compartment, combi oven and a washer-dryer combination
Bedroom
Bathroom with shower, sink and toilet
R E N T A L C O N D I T I O N S :
Minimum 12 months rental agreement
Rent € 1.325, -
Deposit € 2.000,-
Including a prepayment of € 200 for gas, water & electricity
Including service charges
Including internet and TV
Final cleaning € 325,-
Would you like some more information?
Please feel free to contact our office, City Housing Maastricht.
We are pleased to help!
City Housing Maastricht"
https://www.pararius.com/apartment-for-rent/hendrik-ido-ambacht/0e5471a2/jan-van-der-heydenstraat,"€1,400 per month",,3341 BJ (Oostendam),66 m²,2 rooms,,,2009,,,Not present,Not present,A+,Present,Yes,Public,No,"Description
Beautiful apartment for rent in Hendrik-Ido-Ambacht with 1 bedroom in the Oostendam district."
https://www.pararius.com/apartment-for-rent/helmond/5b6eda41/statenlaan,"€1,395 per month",,5708 ZX (De Veste),88 m²,3 rooms,,,2012,1,"Bath
Shower
Storage space
Toilet",Not present,Present,A,Present,,,Yes,"Description
Lovely apartment with garden for rent in Helmond with 2 bedrooms in the De Veste district."
https://www.pararius.com/apartment-for-rent/schiedam/913d163e/lieftinckplein,"€1,113 per month",Excludes: Service costs,3119 PN (De Meesterbuurt),72 m²,2 rooms,,Unlimited period,2003,1,,Not present,Not present,A,Not present,No,,No,"Description
Beautiful apartment for rent in Schiedam with 1 bedroom in the De Meesterbuurt district."
https://www.pararius.com/apartment-for-rent/den-bosch/6426b4f1/gasthuisstraat,"€1,275 per month",Excludes: Service costs,5211 NP (Binnenstad centrum),45 m²,2 rooms,Monumental building,Temporary rental,2024,1,,Not present,Not present,A,Not present,No,,No,"Description
Nice apartment for rent in Den Bosch with 1 bedroom in the Binnenstad centrum district."
https://www.pararius.com/apartment-for-rent/leiden/e913074b/haarlemmerweg,"€1,225 per month","Includes: Electricity, Gas, Service costs, Water",2316 AC (Groenoord),50 m²,2 rooms,,Temporary rental,1920,1,,Not present,Not present,,Not present,No,,No,"Description
Nice apartment for rent in Leiden with 1 bedroom in the Groenoord district."
https://www.pararius.com/house-for-rent/s-gravenmoer/da26d36d/molendijk,Price on request,Excludes: Service costs,5109 RN ('s Gravenmoer),62 m²,2 rooms,,Unlimited period,1920,1,Bath,Not present,"Present (23 m², located on the east)",A,Present,Yes,Public,No,"Description
Ground floor apartment with outdoor terrace.
NOT for migrant workers.
The village of 's Gravenmoer is characterized by its greenery and its central location between several large cities. Several main roads are easily accessible within a 5-minute drive. Fast access to the A27 and A59 and located near the cities of Oosterhout and Breda. 's Gravenmoer is a rustic village northeast of Breda that has managed to preserve its peace and quiet.
Perhaps 's Gravenmoer is most characterized by its beautiful walking and cycling paths, churches and the many monumental buildings that give the village its characteristic atmosphere.
The village offers many amenities, such as a large supermarket (COOP) within 2 minutes walking distance, several primary schools, a bakery, butcher, clothing store, post office, garage with petrol station, physiotherapist and an ATM.
In short: a nice house with many possibilities and beautifully situated in the beautiful 's Gravenmoer.
Construction type of the house:
- Traditional construction of stone with saddle roof, covered with tiles.
- Ground floor of concrete, first floor of wood
- The house will be completely renovated in 2021
- The entire roof has been renewed with extra thick insulated roof panels
- New bathroom, sanitary kitchen
- New plastic window and door frames with HR++ glass
- New electrical and central heating installation
- Walls, roofs and first floor extra insulated
The finishing touches are currently being put to laying laminate, painting the walls, finishing the front and rear facades, balcony and garden separation. In the photos shown below you can see the execution of the work but give you an impression of the space and the future quality level.
Various features:
- Inventory/Decoration: laminate flooring and lamps.
- FURNISHED,
- EXPATS. (foreign people who have been working for large Dutch companies for at least 1 year)
- Kitchen facilities: gas hob, extractor hood, fridge, dishwasher.
- Bathroom facilities: bath, extra large shower, double sink toilet
- Heating system: CV combi boiler 2021
- Glazing: double glazing.
Conditions:
- Furnished rental price € 1300,--- per month excl. gas/water/electricity
- Advance gas/water/electricity € 150,-- per month
- Fixed amount for Internet and TV € 50,--
- Delivery as of December 1, 2024
- Applying for rent allowance is not possible.
- The deposit is € 2,600,-.
- Occupancy is possible for a maximum of 1 person.
- The minimum rental period is 12 months.
- Smoking is not allowed in the house.
- Pets are not allowed.
- No children
- Your creditworthiness will be checked by means of a credit check (including BKR). If you are registered, please report this in advance. With an acceptable explanation from your side, this does not have to be a problem. If a check shows that you are still registered, there is a good chance that the landlord will refuse you.
Income requirement for employees:
- Monthly net income of 3 times the rent. Holiday allowance and other fixed allowances are included.
- Duration of employment contract of at least 12 months if the minimum rental period is 12 months.
Income requirement for self-employed persons:
- Monthly net income of 4 times the rent over the past 3 years.
If you do not meet the income requirement, it is possible to qualify if you have a guarantor or are prepared to pay a higher deposit.
Are you seriously interested?
Are you interested? Do not call, but email us and tell us your situation so that we can submit this information to the landlord who will decide on the basis of this whether you are the candidate to view the accommodation and perhaps work out a further rental agreement.
Please provide by email:
- what is your age.
- type of employment contract (fixed / indefinite term with/without trial period.
- in which sector do you work, in which position.
- for which company do you work (name and location).
- why do you want to live in this location.
- how long do you think you will live here.
- where are you currently staying/where are you registered.
- why are you moving."
